"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110",".its() - get properties on the current subject","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","75",".not() - remove DOM elements from set of DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","3556",".type() - type into a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","81","cy.fixture() or require - load a fixture","Files","2026-03-28","passed","2026-03-28","","","",""
"","320",".as() - alias a DOM element for later use","Aliasing","2026-03-28","passed","2026-03-28","","","",""
"","124","cy.getAllCookies() - get all browser cookies","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","200",".children() - get child DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","198","cy.get() - query DOM elements","Querying","2026-03-28","passed","2026-03-28","","","",""
"","70","cy.wrap() - wrap an object","Misc","2026-03-28","passed","2026-03-28","","","",""
"","149","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","72",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.dom","",""
"","75","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.arch","",""
"","195",".each() - iterate over an array of elements","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","1590","retries the should callback until assertions pass","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","316","cy.request() - make an XHR request","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","112",".trigger() - trigger an event on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","341",".submit() - submit a form","Actions","2026-03-28","passed","2026-03-28","","","",""
"","242","can filter for completed tasks","example to-do app","2026-03-28","passed","2026-03-28","","with a checked task","",""
"","170","cy.clearCookie() - clear a browser cookie","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","372","displays two todo items by default","example to-do app","2026-03-28","passed","2026-03-28","","","",""
"","167",".add() - create a custom command","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.Commands","",""
"","134",".focus() - focus on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","366","cy.intercept() - route responses to matching requests","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","157","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
